,Title,Company,Location,Rating,Date,Salary,Description,Links
386,Senior Data Analyst,General Dynamics Information Technology,Remote,3.7,PostedPosted 30+ days ago,"$80,000 - $90,000 a year","In this role, you will participate in data validation, data quality review, and approval of data deliveries.
Data analytics: 5 years (Required).",/company/General-Dynamics-Information-Technology/jobs/Senior-Data-Analyst-2abe6b8fc494e2e7?fccid=11caadcdc98800d4&vjs=3
387,Data Specialist,Turvo Inc,Remote,NaN,PostedPosted 28 days ago,"$70,000 - $130,000 a year","Fanatical about data accuracy and attention to detail.
Meet with customers to review data migration requirements.",/rc/clk?jk=78c6366912228f63&fccid=8cdb49f41171a504&vjs=3
388,Data Analyst II (Hybrid),Trustmark,"Hybrid remote in Lake Forest, IL 60045",3.2,PostedPosted 22 days ago,NaN,"The ideal candidate will be capable of retrieving data, profiling data and preparing data for further analysis.",/rc/clk?jk=63c32443a9b480ce&fccid=45564c472b05fe9a&vjs=3
389,eCommerce Data Analyst,Acme Tools,"Grand Forks, ND 58203",3.4,PostedPosted 21 days ago,NaN,"Auditing website content to ensure proper tracking and data collection, and troubleshoot any issues that arise.
Supplemental Health Insurance Add-On Programs.",/rc/clk?jk=551ddc6653090f55&fccid=5b29c3adeb2e4bbc&vjs=3
390,"Research Analyst, CNN Digital Research & Analytics",Warner Bros. Discovery,"New York, NY 10010 (Flatiron area)",4.0,PostedPosted 11 days ago,"$59,500 - $110,500 a year","Attention to detail and accuracy in compiling and analyzing data is a must.
The ideal candidate will have 1-3 years experience with gathering and visualizing…",/rc/clk?jk=c251695bbf1826db&fccid=fdb210f6a49b1c13&vjs=3
391,Business Intelligence Analyst,Vetro Tech Inc,"Remote in Cleveland, OH",NaN,EmployerActive 2 days ago,"$83,000 - $97,000 a year","Proven experience with programming for data analysis.
Researching, developing and implementing data-gathering methods.",/company/Vetro-Tech-Inc/jobs/Business-Intelligence-Analyst-98bed4cf36696495?fccid=4e4e1eb33c6dcc2a&vjs=3
392,Sr. Business Analyst,Ascent Solutions,Remote,4.1,EmployerActive 1 day ago,$35 - $45 an hour,"Job Types: Full-time, Contract.",/company/Ascent-Solutions/jobs/Senior-Business-Analyst-cfde3bf555fc07cc?fccid=bc3c1f4ac5cc8ebe&vjs=3
393,Procurement Data Analyst - Hybrid,McLane Company,"Temple, TX 76508",3.1,PostedPosted 5 days ago,NaN,"Analyze large data sets and prepare data for predictive and prescriptive modeling.
Two or more years of experience with large data sets and big data platforms.",/rc/clk?jk=6dcc3aaaa48ec648&fccid=718dbe92864688ab&vjs=3
394,Business Intelligence Analyst | ENTRY LEVEL | TRAINING,PCS Global Tech,"Phoenix, AZ+2 locations",3.3,EmployerActive 14 days ago,"$60,000 - $80,000 a year","Collaborating with team members for the purpose of collecting data and executing the company’s mission.
Developing and managing business intelligence solutions…",/company/PCS-GLOBAL-TECH/jobs/Business-Intelligence-Analyst-Entry-Level-Training-d6b5906614744eca?fccid=252beafbd99a6037&vjs=3
395,Senior Business Analyst (Remote),Vail Resorts,Remote,3.8,PostedPosted 1 day ago,"$90,000 - $113,000 a year","Troubleshoot system issues and provide data to the user community as requested.
For example, Guest Connect is the Point of Sale system that sells Lift Tickets,…",/rc/clk?jk=66c288305d3402c1&fccid=af95ff2f9c48b702&vjs=3
396,Recruitment and Retention Data Analyst - SFPD (1823),City and County of San Francisco,"Remote in San Francisco, CA 94158+1 location",3.9,PostedPosted 16 days ago,"$110,630 - $134,446 a year",Conduct data analysis and data visualization activities; develop dashboards and presentations using data visualization software (PowerBI or Tableau) to…,/rc/clk?jk=f4447e7d631beef7&fccid=a411072d5a46f13f&vjs=3
397,Data Analyst,RWJBarnabas Health,"Remote in Eatontown, NJ 07724+2 locations",3.9,PostedPosted 30+ days ago,NaN,"Minimum 1 year of demonstrated experience in a data analyst or similar role.
The Data Analyst I will assist with data collection and analysis, manuscript and…",/rc/clk?jk=5ef922f7dca99c6a&fccid=c4edd35d91e8a141&vjs=3
398,Data Analyst,GOCOOL,"Bellevue, WA",NaN,PostedPosted 30+ days ago,NaN,"Develop machine learning, data mining, statistical, and graph-based algorithms.
Leverage data to perform intensive analysis across all areas of our business to…",/rc/clk?jk=d3eeb44137cf596b&fccid=5302b2b4db4fded5&vjs=3
399,Go to Market Data Analyst,Procter & Gamble,"San Francisco, CA",4.1,PostedPosted 15 days ago,"$100,000 - $143,000 a year","3–5 years of relevant experience in data analytics, with a focus on DTC eCommerce.
Champion data and develop insightful and practical dashboards using SQL and…",/rc/clk?jk=bed0d935d069d485&fccid=2da0dedf6df97194&vjs=3
400,Senior Labor Market Data Analyst,Calbright College,Remote,2.5,PostedPosted 21 days ago,"$101,571 - $112,001 a year","At least three (3) years experience with higher education and/or labor market or workforce data including performing data collection, data processing,…",/rc/clk?jk=8fe47ed650a0f2c0&fccid=6393103d421951a9&vjs=3
401,"Data Analyst - CropSights, a Precision Ag Platform (Remote - Must Be Located In Cascades Area - Washington State)",Wilbur-Ellis Company,"Remote in Wenatchee, WA 98801",3.7,PostedPosted 10 days ago,"$62,500 - $83,367 a year","In this position, you will support growers in person in navigating digital tools, conduct the discovery of grower data structure, design and implement…",/rc/clk?jk=60ccbca7f0e57c1e&fccid=1850f361f1d8cab4&vjs=3
402,Data Analyst,DMV,"Sacramento, CA",2.0,PostedPosted 14 days ago,"$5,518 - $6,907 a month","Prepares plain-language documentation of the meaning of data, for use by investigative staff when interpreting analyses, reports, and data visualizations.",/company/DMV/jobs/Data-Analyst-cd8f521a79a5f5be?fccid=faf793cc05992d3f&vjs=3
403,Senior Data Analyst,Cambridge Technology Inc.,"Remote in Kansas City, MO",NaN,EmployerActive 2 days ago,"$95,524 - $125,997 a year","Data analyst who can turn data into information, information into insight, and insight into business decisions.
Financial services: 5 years (Required).",/company/Cambridge-Technology-Inc./jobs/Senior-Data-Analyst-cc799c582e6efdb2?fccid=8b4b7a0c407f9a20&vjs=3
404,Data Analyst,Insight,"Hybrid remote in Chandler, AZ 85286",3.6,PostedPosted 2 days ago,"$45,000 - $60,000 a year","Provide modeling based on dynamic data elements available in the data base.
The Pricing & Master Data Analyst II will support operations by monitoring and…",/company/Insight/jobs/Data-Analyst-17903c45542934ce?fccid=69247daab4a84a92&vjs=3
405,Data Analyst,TAA Solutions LLC,"Remote in San Francisco, CA+1 location",NaN,PostedPosted 30+ days ago,$40.68 - $60.45 an hour,Performs Gap analysis As-Is/To-Be for large applications; data mapping exercises for clinical data from upstream source systemâ€™s to downstream target…,/company/taa-solutions-llc/jobs/Data-Analyst-6233c6d7737985d4?fccid=dc14d8d15c8abaea&vjs=3
406,Data Analyst,"Unite Digital, LLC.","Remote in Detroit, MI",NaN,EmployerActive 2 days ago,NaN,"In such data analyst projects, the analyst needs to scrutinize data to recognize and identify patterns.
Another integral element of the data analyst role is EDA…","/company/Unite-Digital,-LLC./jobs/Data-Analyst-35e3350a5c0e3853?fccid=1cd3a5c723d70d51&vjs=3"
407,Junior Data Analyst,TRESUME,"Ashburn Village, VA+4 locations",NaN,EmployerActive 3 days ago,"$50,000 - $60,000 a year","Collaborate with team members to profile, analyze, and model data, including creating logical mapping of source data into target data models, based on the…",/company/TRESUME/jobs/Junior-Data-Analyst-a7a0fa9fbf4bf675?fccid=8456b57e4d97ccb6&vjs=3
408,Data Analyst,University of Florida,"Gainesville, FL 32611+1 location",4.2,PostedPosted 4 days ago,"$48,000 - $52,000 a year","Project coordination and data management.
Monitor data to inform progress.
Collaborate with the evaluation and OneFlorida team to facilitate data needs,…",/rc/clk?jk=bdbcdfd90b03de6f&fccid=c0f8fe90d3cd91fa&vjs=3
409,BI/Data Analyst,Locks Global Staffing LLC,"Fort Worth, TX 76177",NaN,PostedPosted 30+ days ago,"$75,000 - $85,000 a year","Collaborate with Reporting Analyst team to identify data sources and data querying logic.
Proactively identify data gaps and utilize the core BI team (DIAA) to…",/rc/clk?jk=deed4b0d26b2f651&fccid=dd616958bd9ddc12&vjs=3
410,Billing Analyst,"DeKalb County, GA","Decatur, GA",3.5,PostedPosted 13 days ago,"$48,322 - $74,904 a year","Conducts research and analysis to assist in the management of billing operations, programs, and services; compiles and monitors various administrative and…",/rc/clk?jk=d49699d313e87b64&fccid=ef0a91b017cd02fb&vjs=3
411,Business Analyst,UNIVERSAL Technologies,"Hybrid remote in Albany, NY 12207",3.5,PostedPosted 2 days ago,$75 - $120 an hour,"Bachelor’s Degree in Math, Sciences, Engineering or Computer Science and 5 years of relevant experience, with increasing independence and complexity of…",/company/Universal-Technologies/jobs/Business-Analyst-f095c651b21f8fa1?fccid=8903b49c6ee9eebb&vjs=3
412,Excel Data Migration Analyst,Sound Advice,"Westminster, CO",4.0,PostedPosted 30+ days ago,$25 - $65 an hour,"Ability to analyze, summarize and interpret data.
Demonstrated proficiency and knowledge base of relational databases and data visualization.",/rc/clk?jk=df949c477ca32719&fccid=4575d9e784de050e&vjs=3
413,Business Analyst - Azure,Infinity Quest,"Minneapolis, MN 55401 (North Loop area)+4 locations",NaN,EmployerActive 2 days ago,$55 - $67 an hour,"Specific skills/experience required.
Provide business and technical analysis for complex systems/applications.",/company/Infinity-Quest/jobs/Business-Analyst-4d26a5e3c80dcd35?fccid=8a1252dc7db432f1&vjs=3
414,Data Analyst,American Red Cross,"Remote in Washington, DC",3.7,PostedPosted 16 days ago,NaN,"Example engagements include developing data models, documenting data domains, automating data pipelines, archiving data, and visualizing data.",/rc/clk?jk=1857c8927e9b9a30&fccid=9c874b53d20a7e1d&vjs=3
415,Lab Analyst I (MA),"Green Analytics Massachusetts, LLC","Framingham, MA 01701",NaN,EmployerActive 2 days ago,$25 an hour,Imports data into LIMS and Seed-to-Sale systems; submits data reports and Certificates of Analysis for supervisory approval.,/pagead/clk?mo=r&ad=-6NYlbfkN0DQm_XwHeSlXdBjuei3-nG811l3Z5lApodTSube5bvrTCnHIyNLv6Z_0o8V2gIyMbSC_uPdy7Y9N8vY_7vU6KgpArqrZ33d22VJQLTtUdfHliC5rqKB_NdmvXyRgbP2NdqTDC1Q1fmuEMXYWr4IM01KOk6UmMW8c8yaSh2VU-Jn_HMavWbw2dChjwQ3durkhLvtHHyI-Auygk2rBto9Aan5NOosttVk-h67PJldPQbyCKq2xHdycYFYF2vKadi_16PkgYWR0SEPrVInzg_KAaKXUBdK5Czc0d5MczfHC8YqNoBAYTsAGwD2ha_HMCuZmxoq6J-ODXQXPkDtMILA1iP2_a5YX1Usdk5_62MpifPhdwsRSo9x5ki8uXBK07FQK6Bjr5yXt32GMWmpMm8GuUTZmzmVXckrjLKiOGNCKm1puR2hSes_AItOSbNSMVx0MWoykE-OA91L_VWBCQHHsg5GAzjPFxa9qhPQgCsULVmZX0TxJ8e6zYxyL3gSiIHycZkfLQHpoDmtJw==&xkcb=SoD8-_M3Rug1acQ3jB0NbzkdCdPP&p=12&fvj=1&vjs=3
416,Business Analyst.,BCVS GROUP,"California City, CA",NaN,PostedToday,From $30 an hour,"Assist in the testing process through the development of test cases and data.
Bachelor’s/Mater’ degree in computer science, Information Management, or related…",/company/BCVS-Group/jobs/Business-Analyst-04ea79499a395d90?fccid=c88c32eb9e01f8f9&vjs=3
417,Client Data Analyst,MetTel,"Holmdel, NJ 07733",2.8,PostedPosted 30+ days ago,NaN,"Analyzes and documents data, interprets results, summarizes findings, and presents to partners and management for effective decision-making.",/rc/clk?jk=eaf3e6940a5cf871&fccid=c3fb9408437e86e7&vjs=3
418,Junior Data Analyst - W2,American Unit,"Golden, CO 80401",NaN,EmployerActive 2 days ago,$55 - $60 an hour,"5 years Microsoft Excel experience.
Duration: 9 Months Contract(Possible of extension)*.
Core availability is 9am-4pm MT, Monday-Thursday.",/company/American-Unit/jobs/Junior-Data-Analyst-a543448d3971cccc?fccid=8c41bae32acf67a4&vjs=3
419,Product Data Analyst,Zelis,Remote,2.1,PostedPosted 23 days ago,NaN,"1-3 years experience in product data analytics within an agile environment, playing a key role in data gathering, data analysis and helping the team make data…",/rc/clk?jk=c7ad8d474554c09d&fccid=d74c218bbf52305b&vjs=3
420,Guidewire Business Analyst,TekValue IT Solutions,+1 locationRemote,NaN,EmployerActive 2 days ago,$75 - $80 an hour,"5-7 years of business analysis experience on Guidewire Policy Center or Billing Center projects.
Requirements definition for projects and multi-year strategic…",/company/TekValue-IT-Solutions/jobs/Guidewire-Business-Analyst-79f01a2fc2ebc614?fccid=dd0695607f4cb8d3&vjs=3
421,Data Analyst,Enveyo,"Remote in Provo, UT 84601",NaN,PostedPosted 30+ days ago,NaN,5 years of experience as a data analyst in a remote work environment preferably in the parcel/shipping industry and/or supply chain.,/rc/clk?jk=65d0116934622983&fccid=894ad23d29edd7df&vjs=3
422,JR Business Analyst,Quest Trust Company,"Houston, TX 77084",3.5,PostedPosted 27 days ago,$21 - $25 an hour,"Strong data entry skills and ability to multitask.
Remarkable attention to detail and ability to prioritize.
Parental Leave (available after one year of service…",/rc/clk?jk=d80621e2ad2c6ac3&fccid=8403a009802d4e7c&vjs=3
423,Administrative Data Analyst-ObGyn,UCLA Health,"Los Angeles, CA 90095",4.0,PostedPosted 23 days ago,$24.28 - $48.04 an hour,"Skill in preparing data reports.
In this role, you will be responsible for collecting, reviewing, and analyzing data for operational support, including workflow…",/rc/clk?jk=63024affb5105a08&fccid=74540dcd08f53d72&vjs=3
424,Data Analyst,William & Mary,"Hybrid remote in Williamsburg, VA 23187",4.3,PostedPosted 9 days ago,"$73,000 a year",Gathering and analyzing data requirements and data flows to other systems; Transforming data requirements into logical data models.,/rc/clk?jk=3248f1c22c475cdb&fccid=af43b61d41a7f714&vjs=3
425,Business Analyst (UiPath - RPA) - W2 Contract,Acunor,+1 locationRemote,NaN,EmployerActive 2 days ago,$50 - $60 an hour,"Gathering and analyzing data: A Business Analyst is responsible for collecting and analyzing data from various sources, such as customer feedback, sales reports…",/company/Acunor-Infotech-LLC/jobs/Business-Analyst-b7c6ba62698e6577?fccid=f521a2fde61a6b30&vjs=3
426,Data Analyst Contract Exclusions,"Buyers Edge Platform, LLC","Remote in Houston, TX+2 locations",4.0,PostedPosted 8 days ago,NaN,"1-3 years' experience working with large data sets including gathering, interpreting, and disseminating information.
Perform periodic quality assurance reviews.",/rc/clk?jk=77a00eb0499193e0&fccid=5a7d0d1dd0150c0b&vjs=3
427,Data Analyst/Purchasing Coordinator,UNITED UNIFORM - ATLANTIC TACTICAL - LAWMEN'S,+2 locationsRemote,NaN,PostedPosted 30+ days ago,NaN,"Must be detail oriented with a strong focus on data accuracy.
Supporting information initiatives, including working with cross functional teams in developing,…",/rc/clk?jk=caee77742f3d73c4&fccid=313df51d53eaa1b6&vjs=3
428,Data Analyst,Express Global Solutions,"Union City, CA 94587",3.3,PostedPosted 30+ days ago,NaN,"Leads data planning process to outline multiple data sources, identify required data cleansing and preparation, data sharing opportunities and analysis of…",/rc/clk?jk=10a064ffe685ec13&fccid=56638474b2f87df8&vjs=3
429,Business Analyst (AI Governance),314e Corporation,Remote,3.6,EmployerActive 2 days ago,From $50 an hour,"This is a part-time role.
Looking for BA with healthcare experience.
Business Analyst dedicated to AI governance and our AI industry partnerships.",/company/314E-Corporation/jobs/Business-Analyst-59a95b6d611872f6?fccid=db9acdaa6acde12b&vjs=3
430,Senior Business Analyst,SQA Group,Remote,5.0,PostedToday,From $70 an hour,"Experience performing data analysis on complex data models and strong SQL skills.
Work with developers and quality assurance analysts to identify and isolate…",/company/SQA-Group/jobs/Senior-Business-Analyst-6457ff494c391e37?fccid=258c77614d8a5738&vjs=3
431,Data Analyst I,"Cydecor, Inc.","Washington, DC",3.8,PostedPosted 11 days ago,NaN,"A basic, conceptual understanding of data flow, data enrichment, data consolidation, change data capture and transformation.",/rc/clk?jk=35042d89b46b6de7&fccid=332f7087f62d3644&vjs=3
432,Compliance Analyst,Wipro,Remote,3.8,PostedPosted 18 days ago,"$55,000 - $78,000 a year","This role is responsible for data analysis, developing reports, trending, and conducting due diligence, and will interact with subject matter experts within the…",/company/Wipro/jobs/Compliance-Analyst-7fa661e076207c7f?fccid=8d25321c1defe73f&vjs=3
433,Business Analyst,Alluvia Studio,Remote,NaN,PostedPosted 30+ days ago,NaN,"Experience in analysing data to draw business-relevant conclusions and in data visualization techniques and tools.
Define reporting and alerting requirements.",/rc/clk?jk=655b3df0482cf046&fccid=4209bf7793065c5e&vjs=3
434,Business Analyst,GP Strategies Corporation,"Remote in Raleigh, NC",3.2,PostedPosted 3 days ago,NaN,"SUMMARY: The business analyst works closely with GP Strategies project management, account management, business operations, as well as internal and external…",/rc/clk?jk=da319cec13e6ff8e&fccid=e9c638c81ed1b5bb&vjs=3
435,Data Product Analyst,PatientPoint,"Hybrid remote in Cincinnati, OH 45236+1 location",3.3,PostedPosted 11 days ago,NaN,"Participate in data governance standards and processes, often comprised of a guild between technology and business partner comprising product managers, data…",/rc/clk?jk=9c63447ecaedcdd0&fccid=3a2aae3e210f8d0e&vjs=3
436,Client-Facing Marketing Data Analyst (Remote),PACIFIC Digital Group,Remote,NaN,EmployerActive 2 days ago,"$75,000 - $85,000 a year",Assist with development of new data warehousing architecture and analyze proposed design changes to ease future data migration.,/company/Pacific-Digital/jobs/Client-Facing-Marketing-Data-Analyst-385bba48579b9569?fccid=849f3b227f2c751b&vjs=3
437,Research and Data Analyst,"E&E Co., Ltd.","Fremont, CA 94538 (Baylands area)",2.8,EmployerActive 3 days ago,From $32 an hour,"2 years working experience in data analysis.
Good at finding data resources with Googling and through existing materials.
E-commerce: 1 year (Preferred).",/company/E&E/jobs/Research-Data-Analyst-b4354ab4be0cabac?fccid=da38deb8adc2bd41&vjs=3
438,Data Analyst with AIX and SQL,Dutech System,"Austin, TX 78701 (Downtown area)",NaN,EmployerActive 3 days ago,$60 - $65 an hour,"Experience performing writing SQL reports accessing data stored in SQL Server, AIX databases.
Writing SQL reports accessing data stored in SQL Server, AIX: 4…",/company/Dutech-Systems/jobs/Data-Analyst-Aix-SQL-db36b9358adb4a77?fccid=99ce58c80e31ca4e&vjs=3
439,"Operations Analyst 2 - Work From Home, NV",Lumen,Remote,3.5,PostedPosted 1 day ago,"$46,350 - $103,080 a year","Analyze data and identify solutions with pros and cons with respect to business impact based on data information.
Works under regular and routine supervision.",/rc/clk?jk=a3ee50c936d06071&fccid=fa05afb3210273ab&vjs=3
440,Data Modeling Analyst (Hybrid),Radian,"New York, NY 10016 (Murray Hill area)",3.6,PostedPosted 30+ days ago,"$52,200 - $83,600 a year","Perform data exploration and analysis on structured and unstructured data sets.
Create economic data sets and perform scenario and stress testing of models.",/rc/clk?jk=0093c7b1be3969fa&fccid=49bacaf9ea5daa22&vjs=3
441,Benefit Data Analyst,ClearTrack HR,Remote,NaN,PostedPosted 1 day ago,"$45,000 - $63,000 a year","Maintain compliance of data security and privacy requirements.
Maintain compliance of data security and privacy requirements.",/company/ClearTrack-HR/jobs/Benefit-Data-Analyst-5a5507caed5fe4a9?fccid=ceb713cedb549fd7&vjs=3
442,MARKETING DATA ANALYST (FREELANCE),Campaign Stars,"Oakland, CA",NaN,PostedPosted 30+ days ago,NaN,"This is a very part time (around 5 hours a week), client-facing, contract position, ideal for a data wiz looking for a side hustle or an agency interested in…",/rc/clk?jk=d97eac11ded56b47&fccid=eb8508e1d44d8d78&vjs=3
443,Data Analyst,Necco,"Cincinnati, OH 45202 (Over-The-Rhine area)",2.7,PostedPosted 24 days ago,NaN,"2 years of experience in data management.
Maintain reporting environment utilizing data quality best practices.
Minimum of 21 years of age.",/rc/clk?jk=6dd6d72a6c668408&fccid=9997e73403fe863a&vjs=3
444,EQTBM-Business-Data-Analyst,ASA,"New York, NY 10020 (Midtown area)+2 locations",3.9,PostedPosted 30+ days ago,$70 - $75 an hour,"Identify sources of data within the corporate infrastructure.
Work with the Apptio Vendor to import Corporate Financial, Project Management, Time Tracking and…",/company/SysMind/jobs/Eqtbm-Business-Data-Analyst-fa08548fe0b28f9e?fccid=61830e4d6b219496&vjs=3
445,Apprentice Business Analyst,Public Consulting Group,"Remote in Boston, MA 02109+2 locations",3.9,PostedPosted 20 days ago,"$45,000 - $65,000 a year","Provide supporting business/data analysis for various consulting projects.
Consulting Skills: Ability to employ interpersonal approaches, analytical thinking,…",/rc/clk?jk=796a057ad10539f2&fccid=68fb8652f6e72b30&vjs=3
446,IT Business Analyst,Biscuitville Inc,"Greensboro, NC 27405",3.6,PostedPosted 15 days ago,"$80,000 a year","A minimum of 5 years of experience in business analysis or a related field.
The business analyst should be able to carry out analyses, such as cost-benefit…",/rc/clk?jk=4c3b1b17b16c38c8&fccid=667f2f05739038e3&vjs=3
447,Data Analyst,Allied Stone Inc,"Farmers Branch, TX 75234",2.6,PostedPosted 30+ days ago,NaN,"Experience data modeling for data warehousing & reporting.
Additionally, the data analyst will participate in structuring and developing our data warehouse to…",/rc/clk?jk=9bfb55a36ee2db8a&fccid=f606a60c6ce332f2&vjs=3
448,"Informatics Data Analyst , Hybrid, GA",Samjose Infotech,"Atlanta, GA 30303 (Downtown area)",NaN,EmployerActive 14 days ago,"$46,455 - $101,482 a year","Performing and documenting data analysis, data validation, and data.
Modeling high-dimensional data: 3 years (Preferred).
Expected and to agreed timeframes.",/company/Samjose-Infotech/jobs/Informatic-Data-Analyst-fe25bd767ae0b1c6?fccid=686d9c333ac5c873&vjs=3
449,Associate Data Analyst (EST Time Zone),Moody's,"New York, NY 10007 (Financial District area)",3.6,PostedPosted 7 days ago,"$76,200 - $99,000 a year","Data and Analytics group within Business Systems manages data and analytics for Lead to cash processes.
Analyze data related business problems and provide…",/rc/clk?jk=fef566420f8f4ff8&fccid=28eefc5b86560831&vjs=3
450,Warehouse Data Analyst,"Abacus Solutions Group, LLC","Forest Park, GA",4.0,PostedToday,$20 - $22 an hour,"Responsible for designing and developing data warehouses that can store and organize large volumes of data.
Designing and implementing data modeling solutions…","/company/Abacus-Solutions-Group,-LLC/jobs/Warehouse-Data-Analyst-a8438d990fb52c3a?fccid=6bd5e9c29806e824&vjs=3"
451,2023 Data Analyst Co-Op,Moderna Therapeutics,"Norwood, MA 02062",3.6,PostedPosted 30+ days ago,NaN,"Prior experience with data cleaning and dashboarding.
Gain firsthand experience with data by working high impact projects.
Report and track threat metrics.",/rc/clk?jk=9e4aff8a0350b212&fccid=7650303dc4b27449&vjs=3
452,Quality Data Analyst,Careoperative Llc,"Remote in Brentwood, TN 37027",NaN,EmployerActive 3 days ago,NaN,"Minimum of 5 years working with healthcare claims data.
Use reference data to ensure claim data is complete.
Research data issues and report results to the team…",/rc/clk?jk=57cb71f988810504&fccid=dd616958bd9ddc12&vjs=3
453,Data Analyst,PowerPollen,"Ames, IA 50010",NaN,PostedPosted 8 days ago,NaN,"Initiate the PowerPollen data structure and define necessary interfaces for future queries and data access points.
Travel outside those months is possible.",/rc/clk?jk=65b0710c1a5ba057&fccid=dd5f77c12b95afbd&vjs=3
454,"Data Analyst, Fantasy & Betting",PGA Tour,"Saint Augustine, FL+1 location",4.3,PostedPosted 30+ days ago,NaN,"The Data Analyst, Fantasy & Betting will be a hybrid analyst-creator, who mines our data and odds to tell interesting stories and discover trends to help our…",/rc/clk?jk=018a52a673a0fb07&fccid=e278073824e93a79&vjs=3
455,Senior Data Analyst,LeafLink,"Remote in New York, NY",NaN,PostedPosted 30+ days ago,"$100,000 - $150,000 a year","Experience working with dbt for data modeling and diagnosing weirdness in data.
3+ years of experience in an analyst or consultative role.",/rc/clk?jk=00c433f4a431f5b6&fccid=226448fedf3d88a5&vjs=3
456,SFFD EMS COMMUNITY PARAMEDICINE DATA AND POLICY ANALYST,City and County of San Francisco,"San Francisco, CA 94107 (Financial District/South Beach area)",3.9,PostedPosted 13 days ago,"$110,630 - $134,446 a year","SUBSTITUTION: Applicants may substitute up to 2 years of the required education with additional qualifying experience in general data analysis, health data…",/rc/clk?jk=1cf949b250044a72&fccid=a411072d5a46f13f&vjs=3
457,Business Analyst,"Revvin, Inc.",Remote,NaN,PostedPosted 27 days ago,NaN,"Excellent organizational skills, interpersonal skills, and ability to interpret and analyze data.
The company’s platform is the only modern, Point-of-Sale…",/rc/clk?jk=8e1bc574c20f2251&fccid=dd616958bd9ddc12&vjs=3
458,Junior Data Analyst: CHR Support - 4590 - FULLY REMOTE!,Community Health Resources (CHR),"Remote in Windsor, CT 06095",3.2,PostedPosted 30+ days ago,$16.07 an hour,"Experience: 1 to 3 years’ experience in data collection and analysis preferred.
Participating in the performance of a variety of duties involved in client…",/rc/clk?jk=edf987e628f9e7e9&fccid=6bbe34b5fe9f3941&vjs=3
459,Junior Data Analyst,Serenity Healthcare,"Lehi, UT 84043",3.3,PostedPosted 30+ days ago,NaN,"Serenity Healthcare is hiring a Junior Data Analyst for our Lehi, UT headquarters, with remote availability for residents of Utah or Colorado.",/rc/clk?jk=c8b75f805512db15&fccid=075431e2f3a24949&vjs=3
460,Business/Data Analyst (Potential for Remote),BlueCross BlueShield of South Carolina,"Remote in Columbia, SC+1 location",3.7,PostedPosted 28 days ago,NaN,"Working knowledge of mainframe electronic data processing system change methodology.
3 years of job-related business systems analysis, research and/or customer…",/rc/clk?jk=b4cea9e0aa46079f&fccid=a4a8e7f5a8208024&vjs=3
461,Clinical Data Analyst,CliniWorks,"Cambridge, MA 02142 (Kendall Square area)",NaN,PostedPosted 30+ days ago,NaN,"3 or more years of experience with data extraction, manipulation, analyzing and reporting data.
1 or more years of experience working with health care data…",/rc/clk?jk=d8291577e09830bf&fccid=4c1434025197c41c&vjs=3
462,Business Intelligence Analyst - Remote,NRG,Remote in Texas,3.7,PostedPosted 30+ days ago,"$99,000 - $144,000 a year","Advanced data manipulation and transformation skills.
Respond quickly to ad-hoc data requests.
5+ years in a business analyst or similar role.",/rc/clk?jk=46aa9b749fb0e613&fccid=ba62ec521e3e5609&vjs=3
463,Data Analyst,Edify Technologies Inc,"Richmond, VA 23229 (University of Richmond area)",NaN,PostedToday,$30 - $40 an hour,"Identify, analyze, and interpret data in complex data sets.
Technical expertise regarding data models, database design development, and data mining.",/company/Edify-Technologies-Inc/jobs/Data-Analyst-8e1e0bdaf2f584e5?fccid=8f9a7fb7870825a0&vjs=3
464,Data Analyst,DONIA LLC,"Brooklyn, NY 11201",4.8,PostedPosted 30+ days ago,$30 - $40 an hour,"3 years of experience with SQL query writing.
3 years of experience with Python.
Renewing and updating documentation on our existing PowerBI inventory.",/company/DONIA-LLC/jobs/Data-Analyst-ee532334d68e5173?fccid=d6f53535c965a8e1&vjs=3
465,"Data Analyst, Product",Elemy,"New York, NY",2.3,PostedPosted 30+ days ago,NaN,The Data Analyst will drive Product initiatives that identify user improvement opportunities by employing data-driven methodologies.,/rc/clk?jk=144734e9f00e8655&fccid=8311d6b1ae4d8ada&vjs=3
466,Data Analyst (W2),Integration Developer Network LLC,+1 locationRemote,NaN,EmployerActive 11 days ago,$50 - $55 an hour,"Executes data extraction programs/data profiling and analyzes data for accuracy and quality.
5-8+ or more years of professional experience with data analysis,…",/company/Integration-Developer-Network/jobs/Data-Analyst-a266a059117f4f8a?fccid=6af1cd9d656e6476&vjs=3
467,SAP HANA DATA ANALYST,fuge technologies,Remote,NaN,PostedJust posted,NaN,"Experience in analyzing data types, data models, relationships, and data analysis concepts with expertise in data mapping along with data preparation which…",/company/Fuge-Technologies/jobs/SAP-Hana-Data-Analyst-70984ad74723fa9a?fccid=702e0457d630f74a&vjs=3
468,Data Analyst,Intone Networks,"Remote in New York, NY 10001+8 locations",4.2,PostedPosted 23 days ago,$60 an hour,"3 years of work-related experience in data manipulation and analysis.
Responsibilities • Develop and implement data collection systems and other strategies that…",/rc/clk?jk=8777eb6421b18a69&fccid=3ed0572c448b2368&vjs=3
